"filename", "language", "vue", "JavaScript", "JSON with Comments", "Markdown", "JSON", "Ignore", "MS SQL", "Python", "HTML", "CSS", "pip requirements", "comment", "blank", "total"
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\docs\SSO_B系统对接说明.md", "Markdown", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 26, 99
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 11, 16, 156
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 14, 63
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 0, 21
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\OA_system.code-workspace", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 6
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\access_dashboard.py", "Python", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 2, 7, 88
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\action_items.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3922, 0, 0, 0, 9, 285, 4216
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1114, 0, 0, 0, 14, 116, 1244
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\ai_assistant.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3553, 0, 0, 0, 56, 352, 3961
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\approval.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1205, 0, 0, 0, 36, 148, 1389
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\approvers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 291, 0, 0, 0, 9, 46, 346
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\attendance.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1568, 0, 0, 0, 25, 188, 1781
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\attendance_exception.py", "Python", 0, 0, 0, 0, 0, 0, 0, 671, 0, 0, 0, 26, 87, 784
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\attendance_scheduler_config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 248, 0, 0, 0, 4, 44, 296
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 590, 0, 0, 0, 12, 85, 687
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\bid_template.py", "Python", 0, 0, 0, 0, 0, 0, 0, 459, 0, 0, 0, 1, 51, 511
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\business_trip.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1108, 0, 0, 0, 13, 124, 1245
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\business_trip_map.py", "Python", 0, 0, 0, 0, 0, 0, 0, 269, 0, 0, 0, 14, 57, 340
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\confidentiality_ledger.py", "Python", 0, 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 1, 36, 288
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\contacts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 336, 0, 0, 0, 3, 41, 380
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\db_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 420, 0, 0, 0, 8, 50, 478
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\department_policy.py", "Python", 0, 0, 0, 0, 0, 0, 0, 438, 0, 0, 0, 4, 43, 485
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\email_sender.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3117, 0, 0, 0, 25, 358, 3500
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\feedback.py", "Python", 0, 0, 0, 0, 0, 0, 0, 978, 0, 0, 0, 7, 132, 1117
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\file_numbering.py", "Python", 0, 0, 0, 0, 0, 0, 0, 848, 0, 0, 0, 23, 126, 997
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\health_monitor.py", "Python", 0, 0, 0, 0, 0, 0, 0, 869, 0, 0, 0, 8, 144, 1021
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\holiday.py", "Python", 0, 0, 0, 0, 0, 0, 0, 611, 0, 0, 0, 23, 77, 711
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\holiday_exchange.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1061, 0, 0, 0, 10, 126, 1197
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\inbox_email.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1366, 0, 0, 0, 28, 194, 1588
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\info_feed.py", "Python", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 1, 40, 175
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\leave_overtime.py", "Python", 0, 0, 0, 0, 0, 0, 0, 953, 0, 0, 0, 21, 84, 1058
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\low_value_reimbursement.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1070, 0, 0, 0, 7, 135, 1212
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\mashangban.py", "Python", 0, 0, 0, 0, 0, 0, 0, 692, 0, 0, 0, 8, 74, 774
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\massage_chair.py", "Python", 0, 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 2, 57, 357
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\performance.py", "Python", 0, 0, 0, 0, 0, 0, 0, 376, 0, 0, 0, 3, 49, 428
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\personnel_visualization.py", "Python", 0, 0, 0, 0, 0, 0, 0, 339, 0, 0, 0, 1, 41, 381
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\print3d.py", "Python", 0, 0, 0, 0, 0, 0, 0, 346, 0, 0, 0, 1, 68, 415
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\report.py", "Python", 0, 0, 0, 0, 0, 0, 0, 649, 0, 0, 0, 26, 80, 755
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\rotor_blade_balance.py", "Python", 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 1, 32, 245
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\seal_apply.py", "Python", 0, 0, 0, 0, 0, 0, 0, 375, 0, 0, 0, 9, 64, 448
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\shift_schedule.py", "Python", 0, 0, 0, 0, 0, 0, 0, 2526, 0, 0, 0, 23, 291, 2840
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\sso.py", "Python", 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 4, 21, 217
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\statistics.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4241, 0, 0, 0, 70, 496, 4807
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\suggestions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1578, 0, 0, 0, 57, 173, 1808
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\tech_problem.py", "Python", 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 1, 47, 344
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_attendance_time_inout_mark.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 2, 17
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_gcsqb_gclx.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 6
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_gcsqb_yjcfsj.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 3, 9
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_hxp_from_xlsx.py", "Python", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 1, 19, 104
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_inbox_email_fields_and_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_inbox_email_task_fields.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 7, 22
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_notification_fields.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 3, 13
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_performance_grade.py", "Python", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 11, 52
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_performance_indexes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 1, 20, 118
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_quarterly_performance.py", "Python", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 8, 43
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_shift_email_include_send_day.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_shift_email_recipients.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_shift_email_send_weekday.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_shift_schedule_email_departments_config.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_webconfig_admin2.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 4
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_webconfig_llm.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 2, 9
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_yggl_email_auth_code.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 3, 12
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_yggl_enterprise_email.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 2, 8
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_yggl_real_name.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 3, 16
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\approve_backfill_overtime.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 3, 23
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\backfill_overtime.py", "Python", 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 8, 50, 296
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_bianhao_scszh.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 2, 21
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_feedback_tables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 4, 40
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_mashangban_tables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 1, 5, 111
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_performance_records.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 2, 48
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_rotor_blade_balance_records.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_shift_schedule_email_log.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_shift_tables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 2, 6, 77
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_tech_problem_manual.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 3, 28
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\drop_shift_schedule_email_unique_key.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\export_yggl_gh_sfzh.py", "Python", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 1, 17, 99
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\fix_hxp_sj.py", "Python", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 1, 16, 70
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_employee_gh_from_excel.py", "Python", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 6, 19, 136
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_employee_rcnf_from_excel.py", "Python", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 10, 21, 202
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_employee_sfzh_from_excel.py", "Python", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 4, 19, 134
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_mashangban_months.py", "Python", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 2, 17, 114
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_paid_annual_leave_qj_from_xlsx.py", "Python", 0, 0, 0, 0, 0, 0, 0, 342, 0, 0, 0, 5, 73, 420
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_performance_history.py", "Python", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 3, 10, 103
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_qj_from_access.py", "Python", 0, 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 7, 57, 328
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_yggl_enterprise_email_from_excel.py", "Python", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 2, 30, 161
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_yggl_gh_by_sfzh.py", "Python", 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 3, 32, 198
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\migrate_attendance_suggestions_drop_suggestion_date.py", "Python", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 7, 45
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\send_shift_holiday_email.py", "Python", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 4, 17, 85
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\subtract_hxp.py", "Python", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 1, 21, 119
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_bianhao_from_access.py", "Python", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 4, 31, 158
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_bianhaogl_from_access.py", "Python", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 6, 31, 159
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_bianhaogljs_from_access.py", "Python", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 4, 31, 158
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_gcsqb_from_access.py", "Python", 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 13, 42, 275
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_gzh_from_access.py", "Python", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 4, 31, 158
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_hxp_from_access.py", "Python", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 7, 33, 185
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\test_email_worker_lock.py", "Python", 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 1, 21, 189
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\删除打卡和建议.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 3
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\services\policy_vector.py", "Python", 0, 0, 0, 0, 0, 0, 0, 223, 0, 0, 0, 7, 27, 257
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 6
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\chart_font.py", "Python", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 2, 15, 94
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\excel_processor.py", "Python", 0, 0, 0, 0, 0, 0, 0, 328, 0, 0, 0, 17, 72, 417
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\helpers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 4, 33, 169
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\holiday_loader.py", "Python", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 7, 56
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\hxp_helper.py", "Python", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 7, 42
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\overtime_exchange.py", "Python", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 3, 24
"e:\Desktop\tuixiu_protect\OA_system\oa_system.gitignore", "Ignore", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 3, 23
"e:\Desktop\tuixiu_protect\OA_system\scripts\add_policy_attachments.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 2, 9
"e:\Desktop\tuixiu_protect\OA_system\test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 6, 34, 155
"e:\Desktop\tuixiu_protect\OA_system\vue-project\README.md", "Markdown", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 50, 167
"e:\Desktop\tuixiu_protect\OA_system\vue-project\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 8, 20
"e:\Desktop\tuixiu_protect\OA_system\vue-project\package-lock.json", "JSON", 0, 0, 0, 0, 1782, 0, 0, 0, 0, 0, 0, 0, 1, 1783
"e:\Desktop\tuixiu_protect\OA_system\vue-project\package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\assets\json\中华人民共和国-轮廓.json", "JSON", 0, 0, 0, 0, 20379, 0, 0, 0, 0, 0, 0, 0, 77, 20456
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\assets\json\中华人民共和国.json", "JSON", 0, 0, 0, 0, 27252, 0, 0, 0, 0, 0, 0, 0, 1, 27253
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\assets\json\运输路径.json", "JSON", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 1, 128
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\china.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\china_city_coords.json", "JSON", 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 0, 0, 1, 345
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\world.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\App.vue", "vue", 2683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 207, 2896
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\accessDashboard.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\actionItems.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 108
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\admin.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 81
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\attendance.js", "JavaScript", 0, 546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 124, 880
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\attendanceException.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 68
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\bidTemplate.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\businessTripMap.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
