"filename", "language", "vue", "JavaScript", "Markdown", "Python", "JSON with Comments", "JSON", "MS SQL", "comment", "blank", "total"
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\contacts.py", "Python", 0, 0, 0, 209, 0, 0, 0, 2, 24, 235
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\email_sender.py", "Python", 0, 0, 0, 868, 0, 0, 0, 8, 70, 946
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\feedback.py", "Python", 0, 0, 0, 236, 0, 0, 0, 1, 31, 268
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\health_monitor.py", "Python", 0, 0, 0, 241, 0, 0, 0, 1, 31, 273
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\holiday.py", "Python", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\inbox_email.py", "Python", 0, 0, 0, 125, 0, 0, 0, 0, 22, 147
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\low_value_reimbursement.py", "Python", 0, 0, 0, 1070, 0, 0, 0, 7, 135, 1212
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\mashangban.py", "Python", 0, 0, 0, 692, 0, 0, 0, 8, 74, 774
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\performance.py", "Python", 0, 0, 0, 376, 0, 0, 0, 3, 49, 428
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\print3d.py", "Python", 0, 0, 0, 346, 0, 0, 0, 1, 68, 415
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\shift_schedule.py", "Python", 0, 0, 0, 192, 0, 0, 0, 0, 20, 212
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\sso.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\statistics.py", "Python", 0, 0, 0, 52, 0, 0, 0, 1, 2, 55
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\suggestions.py", "Python", 0, 0, 0, 12, 0, 0, 0, 2, 0, 14
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_performance_grade.py", "Python", 0, 0, 0, 40, 0, 0, 0, 1, 11, 52
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_quarterly_performance.py", "Python", 0, 0, 0, 33, 0, 0, 0, 2, 8, 43
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_mashangban_tables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 105, 1, 5, 111
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_performance_records.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 45, 1, 2, 48
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_shift_tables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_mashangban_months.py", "Python", 0, 0, 0, 95, 0, 0, 0, 2, 17, 114
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_performance_history.py", "Python", 0, 0, 0, 90, 0, 0, 0, 3, 10, 103
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\send_shift_holiday_email.py", "Python", 0, 0, 0, 64, 0, 0, 0, 4, 17, 85
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\test_email_worker_lock.py", "Python", 0, 0, 0, 167, 0, 0, 0, 1, 21, 189
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\App.vue", "vue", 377, 0, 0, 0, 0, 0, 0, 0, 31, 408
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\accessDashboard.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\actionItems.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 33, 108
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\attendance.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\contacts.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\feedback.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 1, 1, 20
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\healthMonitor.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 3, 14
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\inboxEmail.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 1, 1, 26
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\lowValueReimbursement.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 0, 22, 133
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\mashangban.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\performance.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\print3d.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\shift.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 4, 18
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\sso.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 4, 1, 14
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\AttendanceExceptionApplyModal.vue", "vue", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\OvertimeRegisterModal.vue", "vue", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\PerformanceHistoryPanel.vue", "vue", 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\QuarterlyPerformanceEntry.vue", "vue", 45, 0, 0, 0, 0, 0, 0, 0, 3, 48
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\composables\useWorkplaceTodos.js", "JavaScript", 0, 197, 0, 0, 0, 0, 0, 1, 10, 208
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\main.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 1, 15
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\router\index.js", "JavaScript", 0, 150, 0, 0, 0, 0, 0, 2, 0, 152
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\utils\chartConfig.js", "JavaScript", 0, 246, 0, 0, 0, 0, 0, 4, 4, 254
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\utils\roleMatch.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 3, 3, 20
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\AdminEmployeeStatus.vue", "vue", 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\Contacts.vue", "vue", 67, 0, 0, 0, 0, 0, 0, 0, 3, 70
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\EmployeeProfile.vue", "vue", 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\EmployeeStructureDashboardEmbed.vue", "vue", 137, 0, 0, 0, 0, 0, 0, 0, 19, 156
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\Home.vue", "vue", 538, 0, 0, 0, 0, 0, 0, 1, 45, 584
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\LeaderDashboard.vue", "vue", 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\Login.vue", "vue", 130, 0, 0, 0, 0, 0, 0, 0, 11, 141
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\LowValueReimbursement.vue", "vue", 2616, 0, 0, 0, 0, 0, 0, 5, 91, 2712
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\Performance.vue", "vue", 76, 0, 0, 0, 0, 0, 0, 0, 6, 82
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\PersonalInboxEmails.vue", "vue", 284, 0, 0, 0, 0, 0, 0, 0, 16, 300
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\PersonnelArchiveEmbed.vue", "vue", 116, 0, 0, 0, 0, 0, 0, 0, 16, 132
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\ReportsHub.vue", "vue", 50, 0, 0, 0, 0, 0, 0, 0, 2, 52
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\Statistics.vue", "vue", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\action-items\ActionItemCenter.vue", "vue", 858, 0, 0, 0, 0, 0, 0, 0, 16, 874
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\action-items\ActionItemDetail.vue", "vue", 376, 0, 0, 0, 0, 0, 0, 0, 14, 390
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\action-items\ActionItemReview.vue", "vue", 249, 0, 0, 0, 0, 0, 0, 0, 7, 256
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\AccessDashboard.vue", "vue", 117, 0, 0, 0, 0, 0, 0, 0, 10, 127
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\HealthMonitor.vue", "vue", 921, 0, 0, 0, 0, 0, 0, 0, 25, 946
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\HxpManage.vue", "vue", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\InboxEmails.vue", "vue", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\Mashangban.vue", "vue", 1534, 0, 0, 0, 0, 0, 0, 3, 128, 1665
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\Approval.vue", "vue", 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\AttendanceExceptions.vue", "vue", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\BusinessTrip.vue", "vue", 45, 0, 0, 0, 0, 0, 0, 0, 2, 47
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\Leave.vue", "vue", 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\PendingTasks.vue", "vue", 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\PersonnelVisualization.vue", "vue", 666, 0, 0, 0, 0, 0, 0, 1, 75, 742
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\ShiftSchedule.vue", "vue", 721, 0, 0, 0, 0, 0, 0, 1, 33, 755
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\feedback\FeedbackCenter.vue", "vue", 210, 0, 0, 0, 0, 0, 0, 1, 7, 218
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\print3d\Print3DManagement.vue", "vue", 92, 0, 0, 0, 0, 0, 0, 0, 3, 95
"Total", "-", 10503, 945, 1110, 9459, 11, 2, 159, 73, 1764, 24026
